form,corr
me-ši-ad,Mešiʾad[]PN
{d}šu-{d}suen-mi-gir-eš₁₈-dar,ŠuSuʾenmigirEštar[]PN
{d}nin-lil₂-tum-nu-ri,Mulliltumnuri[]PN
iri-lal₃-ta,Ululal[]PN
ME-{d}LUGAL,Simatšarrim[]PN
i-da-be-li₂,Idabeli[]PN
gal-zu-da₅-bu₃-ul-si-in-ta,Galzudabulsin[]PN
{d}nanna-{d}amar-{d}suen-ra-ki-ag₂-an-na,EnNannaAmarSuʾenrakiʾaŋana[1]PN
ha-bu-ri₂-tum-ma,Haburitum[]DN
uri₅{ki}-e-ki-ag₂,Lugalurimekiʾaŋ[]ON
{d}suen-al-še₃,Suʾenalšu[]PN
ba-an-num₂,Bannum[]PN
a-wa-an,AtalAmurru[]PN
ša-at-ba-ba-ti,Šatkukuti[]PN
in-ki-si₂-im-ti,Libursimti[]PN
i-ṭi₂-ib-si-na-at,Iṭibšinat[]PN
wa-qar-{d}šu-{d}suen-ba-za,WaqarŠuSuʾen[]PN
zi-zu-uh₂,Zizuh[]PN
ih-ta-na-su₂-nu-ut,Ihtanassassunut[]PN
ur-lal₃-ta,Ululal[]PN
ni-za,Niza[]PN
puzur₄-a-sur,PuzurAššur[]PN
ur-nigar{gar},Urniŋarak[]PN
a-hu-nu-ta,Ahuni[]PN
{d}nigar{gar},Ninniŋar[]DN
